id,Nombre,municipio,Direccion,Zona,nivel_riesgo_genero,Latitud,Longitud,Telefono,Ley_Applicable,Protocolo
1,Gasolinera US Fuel,Chihuahua,Avenida Pastizal #9416 Camino Real,Norte,prioritario,28.6912,-106.1345,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
2,Gasolinera US Fuel,Chihuahua,Avenida Juan Pablo segundo #9910 colonia Aeropuerto,Aeropuerto,prioritario,28.6654,-106.0123,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
3,Gasolinera US Fuel,Chihuahua,Boulevard Fuentes Mares #8401 esquina con Nueva España,Sur,prioritario,28.5980,-106.0450,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
4,Gasolinera US Fuel,Chihuahua,Avenida Nueva España y calle 20 #1100 colonia Misael Núñez,Sur,prioritario,28.5910,-106.0580,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
5,Gasolinera US Fuel,Chihuahua,Lombardo Toledano #4801 colonia Robinson,Sur,prioritario,28.6215,-106.0390,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
6,Gasolinera US Fuel,Chihuahua,Avenida Independencia #2800 y 20 de Noviembre colonia Santa Rosa,Centro,prioritario,28.6355,-106.0710,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
7,Gasolinera US Fuel,Chihuahua,Avenida 20 de Noviembre #3608 colonia Pacifico,Centro,prioritario,28.6410,-106.0620,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
8,Gasolinera US Fuel,Chihuahua,Calle 46 y Ochoa #4411 colonia Rosario,Sur,prioritario,28.6180,-106.0820,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
9,Gasolinera US Fuel,Chihuahua,Avenida Silvestre Terrazas #8401 colonia Campesina,Poniente,prioritario,28.6120,-106.1150,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
10,Gasolinera US Fuel,Chihuahua,Periferico de la Juventud y avenida Mirador,Poniente,prioritario,28.6450,-106.1280,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
11,Gasolinera US Fuel,Chihuahua,Avenida Vallarta #6700 colonia Granjas,Norte,prioritario,28.6630,-106.0950,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
12,Gasolinera US Fuel,Chihuahua,Avenida Pacheco y Nicolas Bravo,Centro,prioritario,28.6390,-106.0520,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
13,Gasolinera US Fuel,Chihuahua,Avenida Los Arcos #601 colonia Magisterial,Norte,prioritario,28.6980,-106.1050,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
14,Gasolinera US Fuel,Chihuahua,Avenida Zarco #2800,Centro,prioritario,28.6240,-106.0910,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
15,Gasolinera US Fuel,Chihuahua,Avenida Juan Escutia #2101 colonia Juan Escutia,Norte,prioritario,28.6740,-106.1120,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
16,Gasolinera US Fuel,Chihuahua,Avenida José María Iglesias #4406 colonia San Pablo,Norte,prioritario,28.6810,-106.0980,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
17,Gasolinera US Fuel,Chihuahua,Avenida Universidad #3301 colonia Magisterial,Norte,prioritario,28.6570,-106.0840,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
18,Gasolinera US Fuel,Chihuahua,Calle Sierra Nevada y Periférico de la Juventud colonia Jardines del Saucito,Norte,prioritario,28.6920,-106.0870,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
19,Gasolinera US Fuel,Chihuahua,Avenida Industrias esquina con Agustín Melgar #370,Norte,prioritario,28.6890,-106.0680,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
20,Gasolinera US Fuel,Chihuahua,Avenida Colegio Militar y Agustín Melgar,Norte,prioritario,28.7050,-106.0790,614-429-3300,Ley de Derecho a Vida Libre de Violencia,Resguardo preventivo y enlace con FEM
21,Farmacia del Ahorro,Chihuahua,Avenida Tecnológico #2504 colonia Silvina Rodríguez,Norte,prioritario,28.6695,-106.0815,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
22,Farmacia del Ahorro,Chihuahua,Rio De Janeiro #322 colonia Panamericana,Norte,prioritario,28.6498,-106.1032,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
23,Farmacia del Ahorro,Chihuahua,Tomas Valles Vivar #7515 colonia La Cantera,Poniente,prioritario,28.6385,-106.1310,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
24,Farmacia del Ahorro,Chihuahua,Paseo De Las Facultades #1207 colonia Quintas San Sebastian,Norte,prioritario,28.6945,-106.1390,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
25,Farmacia del Ahorro,Chihuahua,Boulevard Gustavo Diaz Ordaz #401 colonia Cuauhtémoc,Centro,prioritario,28.6310,-106.0825,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
26,Farmacia del Ahorro,Chihuahua,Calle 46 Y Flores Magón #2401 colonia Pacifico,Centro,prioritario,28.6185,-106.0820,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
27,Farmacia del Ahorro,Chihuahua,Avenida De Las Américas #1200 colonia Panamericana,Norte,prioritario,28.6530,-106.0960,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
28,Farmacia del Ahorro,Chihuahua,Periférico De La Juventud #8109 colonia Jardines Del Saucito,Norte,prioritario,28.6710,-106.1265,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
29,Farmacia del Ahorro,Chihuahua,Avenida De La Cantera #9133 colonia Misiones 4,Poniente,prioritario,28.6435,-106.1315,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
30,Farmacia del Ahorro,Chihuahua,Avenida Mirador #4107 colonia Residencial Campestre,Poniente,prioritario,28.6280,-106.1070,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
31,Farmacia del Ahorro,Chihuahua,Avenida 20 De Noviembre colonia Centro,Centro,prioritario,28.6405,-106.0615,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
32,Farmacia del Ahorro,Chihuahua,Avenida 20 De Noviembre #3303 colonia Obrera,Centro,prioritario,28.6415,-106.0630,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
33,Farmacia del Ahorro,Chihuahua,Periférico De La Juventud #10724 colonia Residencial Universidad,Norte,prioritario,28.6850,-106.1410,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
34,Farmacia del Ahorro,Chihuahua,Politécnico Nacional #4713 colonia Lomas La Salle,Poniente,prioritario,28.6155,-106.1320,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
35,Farmacia del Ahorro,Chihuahua,Avenida Tecnológico Y Agustín Melgar #3303 colonia Magistral,Norte,prioritario,28.6750,-106.0830,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
36,Farmacia del Ahorro,Chihuahua,Avenida Tecnológico #7930 colonia Francisco Villa,Norte,prioritario,28.6820,-106.0850,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
37,Farmacia del Ahorro,Chihuahua,Avenida De Las Américas #101 colonia Granjas,Norte,prioritario,28.6550,-106.0945,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
38,Farmacia del Ahorro,Chihuahua,Avenida Dostoievski #1114 colonia Alamedas II,Norte,prioritario,28.7010,-106.1080,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
39,Farmacia del Ahorro,Chihuahua,Avenida División Del Norte #105 colonia Parques De San Felipe,Norte,prioritario,28.6590,-106.0795,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
40,Farmacia del Ahorro,Chihuahua,Boulevard José Fuentes Mares #8800 colonia Sector Reloj,Sur,prioritario,28.5950,-106.0460,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
41,Farmacia del Ahorro,Chihuahua,Vialidad Los Nogales #2600 en Fraccionamiento Cafetales,Norte,prioritario,28.6975,-106.0665,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
42,Farmacia del Ahorro,Chihuahua,Avenida Politécnico Nacional #2500 Fraccionamiento Lomas Del Santuario,Poniente,prioritario,28.6210,-106.1360,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
43,Farmacia del Ahorro,Chihuahua,Avenida Teófilo Borunda #10801 colonia Ejido Labor De Terrazas,Poniente,prioritario,28.6360,-106.1150,614-200-4800,Protección a la integridad física,Atención inmediata y llamada a emergencia
44,SOUTHCO (INDEX),Chihuahua,Avenida De Las Industrias #11327 Complejo Industrial Chihuahua,Norte,prioritario,28.7115,-106.1212,614-442-7300,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
45,SAFRAN (INDEX),Chihuahua,Avenida Nicolas Gogol #11322 Complejo Industrial Chihuahua,Norte,prioritario,28.7052,-106.1185,614-180-2500,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
46,VISTEON (INDEX),Chihuahua,Granjas Agropecuarias Complejo Industrial Bafar Salida Cuauhtemoc,Poniente,prioritario,28.6015,-106.1520,614-180-3000,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
47,RIPIPSA (INDEX),Chihuahua,2203 boulevard el Saucito Complejo Industrial El Saucito,Norte,prioritario,28.6795,-106.1480,614-481-4242,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
48,SOFI (INDEX),Chihuahua,Avenida De las Américas #3701 Complejo Industrial las Américas,Norte,prioritario,28.6920,-106.1155,614-432-1500,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
49,BATESVILL (INDEX),Chihuahua,Avenida Nicolas Gogol #11301 Complejo Industrial Chihuahua,Norte,prioritario,28.6880,-106.1120,614-432-1000,Derecho a entorno laboral seguro,Protocolo interno de resguardo industrial
50,Instituto Estatal Electoral,Chihuahua,Calle División del Norte #2104 colonia Alta Vista,Norte,prioritario,28.6368,-106.0742,614-432-1980,Ley de Participación Ciudadana y Seguridad,Resguardo preventivo y aviso a seguridad interna
